Candidate,Party,EVM Votes,Postal Votes,Total Votes,percent of Votes,Constituency ID
SUDALAIMUTHU P,Independent,576,2,578,0.06,S2236
KRISHNAN S,Independent,479,1,480,0.05,S2236
RADHAKRISHNAN V G,Independent,456,5,461,0.05,S2236
JAMES P,Independent,433,11,444,0.05,S2236
PONRAJ K,Independent,428,1,429,0.04,S2236
PRASANNA KUMAR M,Independent,396,0,396,0.04,S2236
SELVAMUTHUKUMAR M,Independent,341,0,341,0.03,S2236
SENTHIL KUMAR S,Independent,290,1,291,0.03,S2236
NOTA,None of the Above,9682,124,9806,1,S2236
BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),475637,1263,476900,45,S1338
LOKHANDE SADASHIV KISAN,Shiv Sena,425498,873,426371,40.23,S1338
UTKARSHA PREMANAND RUPWATE,Vanchit Bahujan  Aaghadi,90748,181,90929,8.58,S1338
BHAUSAHEB RAMNATH WAKCHAURE,Independent,13973,33,14006,1.32,S1338
RAMCHANDRA NAMDEV JADHAV,Bahujan Samaj Party,7000,40,7040,0.66,S1338
RAVINDRA KALLAYYA SWAMY,Independent,5536,1,5537,0.52,S1338
ABHIJEET ASHOKRAO POTE,Independent,4761,15,4776,0.45,S1338
BHARAT SAMBHAJI BHOSLE,Samata Party,3395,8,3403,0.32,S1338
SATISH BHIVA PAWAR,Independent,2765,6,2771,0.26,S1338
GANGADHAR RAJARAM KADAM,Independent,2743,14,2757,0.26,S1338
BAGUL GORAKSHA TANHAJI,Independent,2658,2,2660,0.25,S1338
PRASHANT VASANT NIKAM,Independent,2542,3,2545,0.24,S1338
ADV NITIN DADAHARI POL,Bahujan Bharat Party,2517,15,2532,0.24,S1338
RAJENDRA RATNAKAR WAGHMARE,Rashtriya Jankranti Party,2500,5,2505,0.24,S1338
ADV SIDHARTH DEEPAK BODHAK,Independent,2202,2,2204,0.21,S1338
CHANDRAKANT SAMBHAJI DONDE,Independent,2074,6,2080,0.2,S1338
ASHOK RAMCHANDRA ALHAT,Independent,1794,4,1798,0.17,S1338
KHAJEKAR VIJAYRAO GOVINDRAO,Independent,1555,2,1557,0.15,S1338
KHARAT NACHIKET RAGHUNATH,Independent,1146,4,1150,0.11,S1338
SANJAY POPAT BHALERAO,Independent,958,5,963,0.09,S1338
NOTA,None of the Above,5326,54,5380,0.51,S1338
SANDHYA RAY,Bharatiya Janata Party,533462,3603,537065,51.2,S122
PHOOL SINGH BARAIYA,Indian National Congress,470169,2056,472225,45.02,S122
DEVASHISH JARARIYA,Bahujan Samaj Party,20322,143,20465,1.95,S122
UMESH GARG,Independent,5057,15,5072,0.48,S122
REKHA SHAKYA,Independent,2645,22,2667,0.25,S122
HARIMOHAN,Independent,2598,12,2610,0.25,S122
RAKESH,Independent,2345,24,2369,0.23,S122
NOTA,None of the Above,6486,48,6534,0.62,S122
RAMESH JIGAJINAGI,Bharatiya Janata Party,669055,3726,672781,51.91,S104
RAJU ALAGUR.,Indian National Congress,593277,2275,595552,45.95,S104
GANAPATI  RATHOD (HANJAGI),Karnataka Rashtra Samithi,7652,39,7691,0.59,S104
BHOVI TARABAI,Independent,4342,11,4353,0.34,S104
RAMJI YAMANAPPA BUDDHAPRIYA,Naki Bharatiya Ekta Party,2414,12,2426,0.19,S104
NAGAJYOTI.B.N.,Socialist Unity Centre Of India (communist),2375,17,2392,0.18,S104
RAJAKUMAR APPANNA HONNAKATTI,Rashtriya Samaj Paksha,1784,10,1794,0.14,S104
JITENDRA.ASHOK. KAMBLE,Republican Party of India (A),1605,18,1623,0.13,S104
NOTA,None of the Above,7482,20,7502,0.58,S104
BIPLAB KUMAR DEB,Bharatiya Janata Party,868484,12857,881341,72.85,S231
ASISH KUMAR SAHA,Indian National Congress,265912,3851,269763,22.3,S231
RAMENDRA REANG,Independent,8899,33,8932,0.74,S231
ARUN KUMAR BHAUMIK,Socialist Unity Centre Of India (communist),8617,167,8784,0.73,S231
GOURI SANKAR NANDI,Independent,8074,40,8114,0.67,S231
MILAN PADA MURASING,Independent,6625,27,6652,0.55,S231
BALARAM DEBBARMA,Independent,4356,123,4479,0.37,S231
BRAJALAL DEBNATH,Independent,3656,27,3683,0.3,S231
ARNAB ROY,Republican Party of India (A),3420,29,3449,0.29,S231
NOTA,None of the Above,14444,168,14612,1.21,S231
ABHISHEK BANERJEE,All India Trinamool Congress,1043493,4737,1048230,68.48,S2521
ABHIJIT DAS (BOBBY),Bharatiya Janata Party,336068,1232,337300,22.03,S2521
PRATIK UR RAHAMAN,Communist Party of India  (Marxist),86507,446,86953,5.68,S2521
MAJNU LASKAR,All India Secular Front,21109,30,21139,1.38,S2521
SUBRATA BOSE,Independent,9819,6,9825,0.64,S2521
DASARATHI PAIK,Bahujan Samaj Party,7082,29,7111,0.46,S2521
MALAY GUHA ROY,Independent,2963,8,2971,0.19,S2521
PULAKESH MONDAL,Independent,1945,3,1948,0.13,S2521
KALIMUDDIN SK,Indian National Socialistic Action Forces,1579,11,1590,0.1,S2521
RAMKUMAR MONDAL,Socialist Unity Centre Of India (communist),1411,7,1418,0.09,S2521
ANISUR RAHAMAN SK,Independent,1152,7,1159,0.08,S2521
KASHINATH MONDAL,Independent,961,24,985,0.06,S2521
NOTA,None of the Above,10134,54,10188,0.67,S2521
NARAYAN TATU RANE,Bharatiya Janata Party,445339,3175,448514,49.07,S1346
VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),396524,4132,400656,43.83,S1346
VINAYAK LAVU RAUT,Independent,15769,57,15826,1.73,S1346
MARUTI RAMACHANDRA JOSHI,Vanchit Bahujan  Aaghadi,9873,166,10039,1.1,S1346
AAYARE RAJENDRA LAHU,Bahujan Samaj Party,7796,60,7856,0.86,S1346
SHAKIL SAWANT,Independent,6373,22,6395,0.7,S1346
TAMBADE AMRUT ANANT (RAJAPURKAR),Independent,5563,19,5582,0.61,S1346
ASHOK GANGARAM PAWAR,Bahujan Mukti Party,5244,36,5280,0.58,S1346
SURESH GOVINDRAO SHINDE,Sainik Samaj Party,2209,38,2247,0.25,S1346
NOTA,None of the Above,11516,127,11643,1.27,S1346
KALIPADA SAREN (KHERWAL),All India Trinamool Congress,740132,3346,743478,49.87,S2533
DR. PRANAT TUDU,Bharatiya Janata Party,566553,2877,569430,38.2,S2533
SONAMANI TUDU,Communist Party of India  (Marxist),76850,452,77302,5.19,S2533
SURYA SINGH BESRA,Jharkhand People's Party,19408,86,19494,1.31,S2533
BARUN MAHATO,Independent,12029,58,12087,0.81,S2533
ARUNKUMAR HANSDA,Bahujan Samaj Party,11949,40,11989,0.8,S2533
SURENDRANATH SING,Independent,10781,6,10787,0.72,S2533
RAMANATH ORANG,Independent,7178,10,7188,0.48,S2533
BIPLAB HEMBRAM,Independent,7156,14,7170,0.48,S2533
BAPI SOREN,All India Secular Front,5854,41,5895,0.4,S2533
BIRSABIR BASKEY,Ambedkarite Party of India,4344,18,4362,0.29,S2533
SUSHIL MANDI,Socialist Unity Centre Of India (communist),2879,13,2892,0.19,S2533
GUNADHAR SING,Independent,2818,31,2849,0.19,S2533
NOTA,None of the Above,15871,49,15920,1.07,S2533
PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54,S0110
KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318,5176,564494,40.84,S0110
KAVURI LAVANYA,Indian National Congress,19820,1006,20826,1.51,S0110
AJAY BABU BODA,Navarang Congress Party,12197,13,12210,0.88,S0110
NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664,68,6732,0.49,S0110
BOKINALA KOTESWARA RAO,Independent,2253,10,2263,0.16,S0110
RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523,3,1526,0.11,S0110
KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172,8,1180,0.09,S0110
AGASTEEN KOMMINA,Independent,1001,3,1004,0.07,S0110
DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777,9,786,0.06,S0110
RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729,3,732,0.05,S0110
GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710,5,715,0.05,S0110
BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705,10,715,0.05,S0110
NOTA,None of the Above,22371,144,22515,1.63,S0110
VEENA DEVI,Lok Janshakti Party(Ram Vilas),566225,818,567043,48.38,S0416
VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,476199,1210,477409,40.73,S0416
VIKKY KUMAR,Independent,34253,3,34256,2.92,S0416
SHAMBHU KUMAR SINGH,Bahujan Samaj Party,21367,69,21436,1.83,S0416
RAJ NARAYAN YADAV,Independent,9614,2,9616,0.82,S0416
PARAMHANS SINGH,Independent,5316,1,5317,0.45,S0416
HARI NARAYAN RAM,Viro Ke Vir Indian Party,5097,3,5100,0.44,S0416
RAMESHWAR MAHTO,Bhartiya Sarthak Party,4141,9,4150,0.35,S0416
KUMAR SHISHIR,Independent,3903,4,3907,0.33,S0416
MUHAMAD AVAS,Independent,3758,0,3758,0.32,S0416
ABHA RAY,Peoples Party of India (Democratic),3263,11,3274,0.28,S0416
NARESH RAM,Socialist Unity Centre Of India (communist),2998,11,3009,0.26,S0416
VINOD KUMAR SHARMA,Jantantra Awaj Party,2929,5,2934,0.25,S0416
ANIKET RAJ,Rashtriya Samaj Paksha,2018,7,2025,0.17,S0416
BALENDRA TIWARY,Hindustan Janta Party Secular,1360,6,1366,0.12,S0416
NOTA,None of the Above,27420,40,27460,2.34,S0416
SAMBIT PATRA,Bharatiya Janata Party,625372,3958,629330,52.58,S1817
ARUP MOHAN PATNAIK,Biju Janata Dal,523036,1585,524621,43.83,S1817
JAYANARAYAN PATTANAYAK,Indian National Congress,24066,276,24342,2.03,S1817
SANTANU KUMAR DAS,Bahujan Samaj Party,3918,11,3929,0.33,S1817
SUBASH CHANDRA BHOI,Socialist Unity Centre Of India (communist),3257,9,3266,0.27,S1817
SOBHA PANDEY,Independent,2212,17,2229,0.19,S1817
DILLIP KUMAR BARAL,Independent,1605,6,1611,0.13,S1817
NOTA,None of the Above,7568,42,7610,0.64,S1817
APPALANAIDU KALISETTI,Telugu Desam,729284,13829,743113,57.2,S013
BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,487691,6071,493762,38,S013
BOBBILI SRINU,Indian National Congress,10270,353,10623,0.82,S013
PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,7985,53,8038,0.62,S013
VELURI VENKATA TRINADHARAO,Independent,4146,6,4152,0.32,S013
ALLU SRIRAMULU,Independent,3396,5,3401,0.26,S013
SIYYADULA YELLA RAO,Independent,3105,2,3107,0.24,S013
SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,1758,3,1761,0.14,S013
MARISERLA KRISHNAMURTHY NAIDU,Independent,1617,12,1629,0.13,S013
VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,1544,9,1553,0.12,S013
CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party,1401,10,1411,0.11,S013
ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,1059,11,1070,0.08,S013
ADINARAYANA TADDI,Independent,855,1,856,0.07,S013
P V A ANANDA SAGAR,Independent,787,4,791,0.06,S013
SAKHINETI ANANTHA RAJU,Pyramid Party of India,715,10,725,0.06,S013
NOTA,None of the Above,23097,153,23250,1.79,S013
DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,810529,1618,812147,64.99,S1217
SANJAY SHARMA SANJU BHAIYA,Indian National Congress,379868,583,380451,30.44,S1217
RAMGOVIND BARUAA,Bahujan Samaj Party,15344,43,15387,1.23,S1217
PANDIT DIVYENDRA BRIJMOHAN DUBEY ADV,Bharatiya Yuva Jan Ekta Party,6157,11,6168,0.49,S1217
RAKESH RAMPRASAD RICKY,Independent,5071,8,5079,0.41,S1217
SARJERAO SAHARE,Independent,4487,6,4493,0.36,S1217
PATRAKAR TILAK JATAV,Independent,2257,3,2260,0.18,S1217
YUVRAJ GAVADE,Independent,2205,10,2215,0.18,S1217
JYOTI SURESH JHARIYA,Independent,2033,13,2046,0.16,S1217
MAKHAN SINGH LODHI,Bhartiya Shakti Chetna Party,1651,6,1657,0.13,S1217
MUKESH YADAV,Independent,1578,10,1588,0.13,S1217
PANDIT BRAJESH KHEMARIYA,Independent,1251,9,1260,0.1,S1217
NOTA,None of the Above,14927,14,14941,1.2,S1217
MANICKAM TAGORE B,Indian National Congress,382876,2380,385256,36.28,S2234
VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,378243,2634,380877,35.87,S2234
RADIKAA R,Bharatiya Janata Party,164149,2122,166271,15.66,S2234
KAUSHIK S,Naam Tamilar Katchi,76122,909,77031,7.25,S2234
RAJESH,Independent,6167,6,6173,0.58,S2234
ASHOK KUMAR M,Bharatiya Praja Aikyata Party,5228,65,5293,0.5,S2234
SEKAR S,Hindu Samaj Party,3436,10,3446,0.32,S2234
MANIKANDAN M,Independent,3341,5,3346,0.32,S2234
MAYAK KANNAN,Independent,2749,2,2751,0.26,S2234
MAHENDRA RAMAKRISHNAN P,Independent,2404,1,2405,0.23,S2234
SURESH,Bahujan Samaj Party,2378,19,2397,0.23,S2234
SELVI K,Independent,2165,23,2188,0.21,S2234
PANDIYAMMAL R,Independent,2128,5,2133,0.2,S2234
SUDALAIMANI M,Independent,1357,2,1359,0.13,S2234
PALANICHAMY P,Bahujan Dravida Party,1261,2,1263,0.12,S2234
PALANISAMY K,Independent,1251,6,1257,0.12,S2234
VENKATESWARAN V K,Independent,1242,5,1247,0.12,S2234
SELVARAJAN V V,Independent,1120,1,1121,0.11,S2234
MARIEESWARI M,Independent,1100,10,1110,0.1,S2234
SANKARANARAYANAN N,Independent,994,4,998,0.09,S2234
SELVAKUMAR M,Independent,896,6,902,0.08,S2234
MUTHUKANNU C,Tamilaga Makkal Nala Katchi,753,8,761,0.07,S2234
MARISELVAM S,All India People Development Party,708,3,711,0.07,S2234
JEYARAJ T,Independent,602,8,610,0.06,S2234
VEDHA DHAMODHARAN,Independent,599,1,600,0.06,S2234
RAJAGOPAL S,Independent,525,2,527,0.05,S2234
GANESHAMOORTHI G,Independent,457,3,460,0.04,S2234
NOTA,None of the Above,9256,152,9408,0.89,S2234
JUNE MALIAH,All India Trinamool Congress,699562,2630,702192,47.4,S2534
AGNIMITRA PAUL,Bharatiya Janata Party,671328,3673,675001,45.56,S2534
BIPLAB BHATTA,Communist Party of India,57345,440,57785,3.9,S2534
ANINDITA JANA,Socialist Unity Centre Of India (communist),9744,47,9791,0.66,S2534
SANJIB DEY,Independent,8703,8,8711,0.59,S2534
ANJAN (BABALU) MANDAL,Bahujan Samaj Party,6483,20,6503,0.44,S2534
KAMALESH MAHATA,Independent,4229,21,4250,0.29,S2534
SUKESH CHANDRA PALMAL,Independent,2757,5,2762,0.19,S2534
BISWAJIT DAS,Independent,2141,3,2144,0.14,S2534
NOTA,None of the Above,12362,62,12424,0.84,S2534
ARUP CHAKRABORTY,All India Trinamool Congress,637465,4348,641813,44.33,S2536
DR. SUBHAS SARKAR,Bharatiya Janata Party,604836,4199,609035,42.07,S2536
NILANJAN DASGUPTA,Communist Party of India  (Marxist),104534,825,105359,7.28,S2536
SURAJIT SINGH KURMALI,Independent,18507,62,18569,1.28,S2536
GOPAL MURMU,Ambedkarite Party of India,9047,54,9101,0.63,S2536
DIPA BOURI,Bahujan Samaj Party,8709,87,8796,0.61,S2536
MARSHAL TUDU,Independent,6682,35,6717,0.46,S2536
TARA SHANKAR GOPE,Socialist Unity Centre Of India (communist),5490,39,5529,0.38,S2536
SANDIP KUMAR DEY,Independent,4610,12,4622,0.32,S2536
SAMAR KUMAR BISWAS,Kisan Mazdoor Sangharsh Party,3512,29,3541,0.24,S2536
JIBAN CHAKRABORTY,Independent,3483,23,3506,0.24,S2536
KARTIK CHANDRA BAURI,Independent,2741,55,2796,0.19,S2536
GOUR CHANDRA HEMBRAM,Independent,2064,17,2081,0.14,S2536
NOTA,None of the Above,26126,83,26209,1.81,S2536
RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,584512,1322,585834,50.75,S2464
KAJAL NISHAD,Samajwadi Party,480788,1520,482308,41.78,S2464
JAVED ASHRAF ALIAS JAVED SIMNANI,Bahujan Samaj Party,55660,121,55781,4.83,S2464
ANAND KUMAR YADAV,Bharatheeya Jawan Kisan Party,4946,9,4955,0.43,S2464
PINTU SAHANI,Independent,4031,1,4032,0.35,S2464
SHIVSHANKAR PRAJAPATI,Bhagidari Party(P),2631,4,2635,0.23,S2464
SUDHANSHU,Independent,2393,2,2395,0.21,S2464
SANJAY SINGH RANA,Bhartiya Sarvdharm Party,2011,1,2012,0.17,S2464
NAFEES AKHTAR,Independent,1880,0,1880,0.16,S2464
ANKIT SHAH,Bharatiya Yuva Jan Ekta Party,1871,3,1874,0.16,S2464
AMITA BHARATI,Independent,1356,8,1364,0.12,S2464
SONU RAI,Mera Adhikaar Rashtriya Dal,891,7,898,0.08,S2464
SHRIRAM PRASAD,Al-Hind Party,762,2,764,0.07,S2464
NOTA,None of the Above,7652,29,7681,0.67,S2464
NABA CHARAN MAJHI,Bharatiya Janata Party,580579,5392,585971,49.91,S185
SUDAM MARNDI,Biju Janata Dal,364745,1892,366637,31.23,S185
ANJANI SOREN,Jharkhand Mukti Morcha,134713,686,135399,11.53,S185
RABINDRA NATH SINGH,Independent,9282,42,9324,0.79,S185
ASHOK KUMAR SING,Independent,8918,35,8953,0.76,S185
JATIA SAWAYAN,Bahujan Samaj Party,8457,45,8502,0.72,S185
SANTILATA CHATTAR,Independent,8448,29,8477,0.72,S185
PITAMBAR NAIK,Socialist Unity Centre Of India (communist),8070,44,8114,0.69,S185
ANTA ALOK BASKEY,AJSU Party,5386,8,5394,0.46,S185
BAJUN HANSDA,Independent,5304,18,5322,0.45,S185
KANHU CHARAN TUDU,Independent,5103,35,5138,0.44,S185
SUKANTA HEMBRAM,Bharatiya Nyay-Adhikar Raksha Party,3636,20,3656,0.31,S185
GURU  CHARAN HEMBRAM,Bharatheeya Jawan Kisan Party,3175,35,3210,0.27,S185
NOTA,None of the Above,19853,100,19953,1.7,S185
PRADAN BARUAH,Bharatiya Janata Party,659307,3815,663122,54.75,S0312
UDAY SHANKAR HAZARIKA,Indian National Congress,458720,3145,461865,38.13,S0312
DHIREN KACHARI,Communist Party of India,19562,69,19631,1.62,S0312
GHANA KANTA CHUTIA,All India Trinamool Congress,14055,142,14197,1.17,S0312
BIKRAM RAMCHIARY,Independent,10218,75,10293,0.85,S0312
GOBIN BISWAKARMA,Independent,7461,65,7526,0.62,S0312
DEBA NATH PAIT,Independent,6143,20,6163,0.51,S0312
PALLAB PEGU,Socialist Unity Centre Of India (communist),6051,86,6137,0.51,S0312
BIREN BAILUNG,Voters Party  International,5329,30,5359,0.44,S0312
NOTA,None of the Above,16716,205,16921,1.4,S0312
K.RADHAKRISHNAN,Communist Party of India  (Marxist),398818,4629,403447,40.66,S119
RAMYA HARIDAS,Indian National Congress,379231,4105,383336,38.63,S119
DR T N SARASU,Bharatiya Janata Party,186441,1789,188230,18.97,S119
HARI ARUMBIL,Bahujan Samaj Party,2835,36,2871,0.29,S119
KRISHNANKUTTY KUNISSERY,Independent,2323,28,2351,0.24,S119
NOTA,None of the Above,11918,115,12033,1.21,S119
SUDHA R,Indian National Congress,516534,1925,518459,47.67,S2228
BABU P,All India Anna Dravida Munnetra Kazhagam,246083,1193,247276,22.73,S2228
STALIN M K,Pattali Makkal Katchi,165770,667,166437,15.3,S2228
KALIYAMMAL P,Naam Tamilar Katchi,127276,366,127642,11.73,S2228
KARTHICK A,Samaniya Makkal Nala Katchi,3888,3,3891,0.36,S2228
ILANCHEZHIAN T,Bahujan Samaj Party,2878,20,2898,0.27,S2228
BABU S,Independent,1832,6,1838,0.17,S2228
MANIMARAN T,Independent,1710,1,1711,0.16,S2228
NAGARAJAN K,Independent,1342,5,1347,0.12,S2228
SILAMBARASAN D,Independent,1255,1,1256,0.12,S2228
JAFARULLAH KHAN F,Independent,1230,6,1236,0.11,S2228
PANDIYARAJAN S,Independent,1169,5,1174,0.11,S2228
TIMOTHY T,Independent,1165,10,1175,0.11,S2228
VEDARETHINAM S,Anna MGR Dravida Makkal Kalgam,780,2,782,0.07,S2228
NITHIYANANTHAM S,Naadaalum Makkal Katchi,735,4,739,0.07,S2228
SRINIVASAN V,Independent,609,8,617,0.06,S2228
DHAKSHINAMOORTHY M,Independent,518,17,535,0.05,S2228
NOTA,None of the Above,8642,53,8695,0.8,S2228
P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,639111,5733,644844,48.38,S0124
NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,557030,11743,568773,42.67,S0124
SHAIK BASHEED,Indian National Congress,52229,1071,53300,4,S0124
ABBAVARAM UGENDRA,Bahujan Samaj Party,12306,57,12363,0.93,S0124
POOLA REDDY SEKHAR,Independent,6097,3,6100,0.46,S0124
NAGARAJU JETTI,Independent,5984,15,5999,0.45,S0124
PRADEEP PENAMADU,All India Forward Bloc,5671,1,5672,0.43,S0124
CHOUDVARAM SUBBANARASAIAH,Independent,4731,4,4735,0.36,S0124
PULI SREENIVASULU,Independent,4613,3,4616,0.35,S0124
SREENIVASULU MARRIPATI,Independent,4436,7,4443,0.33,S0124
AKBAR M BASHA,Anna YSR Congress Party,2394,17,2411,0.18,S0124
SANGARAJU NAGESWARA RAJU,Independent,1523,12,1535,0.12,S0124
MADA RAJA,Jaathia Chethi Vruthula Ikya Vedika Party,1415,0,1415,0.11,S0124
BATTHALA RAMANAIAH,Jai Bharat National Party,1360,6,1366,0.1,S0124
DODDAPANENI RAJA NAIDU,Independent,1315,3,1318,0.1,S0124
MAYANA MOHAMMED SALMAN KHAN,Liberation Congress Party,1069,2,1071,0.08,S0124
KASTURI OBAIAH NAIDU,Independent,885,2,887,0.07,S0124
ASADI VENKATADRI,Independent,689,2,691,0.05,S0124
NOTA,None of the Above,11324,76,11400,0.86,S0124
ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,761183,4401,765584,48.54,S2530
DEBANGSHU BHATTACHARYA,All India Trinamool Congress,683955,3896,687851,43.61,S2530
SAYAN BANERJEE,Communist Party of India  (Marxist),84774,615,85389,5.41,S2530
MOHIUDDIN AHMED MAHI,All India Secular Front,12303,36,12339,0.78,S2530
SURYANEEL DAS,Independent,6012,2,6014,0.38,S2530
NARAYAN CHANDRA NAYAK,Socialist Unity Centre Of India (communist),5633,49,5682,0.36,S2530
SABITRI BISHAI,Bahujan Samaj Party,3724,30,3754,0.24,S2530
DEBAPRASAD JANA,Independent,1460,7,1467,0.09,S2530
KALIPADA DAS,Independent,947,27,974,0.06,S2530
NOTA,None of the Above,8223,42,8265,0.52,S2530
ARUN BHARTI,Lok Janshakti Party(Ram Vilas),508179,867,509046,51.98,S0440
ARCHANA KUMARI,Rashtriya Janata Dal,395696,868,396564,40.5,S0440
SUBHASH PASWAN,Independent,13841,34,13875,1.42,S0440
SAKALDEO DAS,Bahujan Samaj Party,12313,53,12366,1.26,S0440
SRAWON KUMAR,Rashtriya Jansambhavna Party,8604,21,8625,0.88,S0440
JAGDISH PRASAD,Loktantrik Samajik Nyay Party,6532,10,6542,0.67,S0440
SANTOSH KUMAR DAS,Socialist Unity Centre Of India (communist),6025,8,6033,0.62,S0440
NOTA,None of the Above,26148,34,26182,2.67,S0440
VAMSI KRISHNA GADDAM,Indian National Congress,470180,5407,475587,43.42,S292
SRINIVAS GOMASE,Bharatiya Janata Party,339107,5116,344223,31.43,S292
ESHWAR KOPPULA,Bharat Rashtra Samithi,191891,1465,193356,17.65,S292
ERUKULLA RAJA NARSAIAH,Bahujan Samaj Party,6730,69,6799,0.62,S292
VENUGOPAL MOYYI,Bahujan Mukti Party,5220,3,5223,0.48,S292
MOTHE NARESH,Peoples Party of India (Democratic),4998,9,5007,0.46,S292
RAMESH MANDA,Dharma Samaj Party,4314,20,4334,0.4,S292
AMBOJU SUMALATHA,Alliance of Democratic Reforms Party,3770,13,3783,0.35,S292
DURGAM RAMULU,Independent,3432,2,3434,0.31,S292
MULKALLA RAJENDRAPRASAD,Independent,2786,3,2789,0.25,S292
RAMCHANDAR NICHHAKOLA,Dalita Bahujana Party,2589,40,2629,0.24,S292
KANDI CHANDU,Rashtriya Manav Party,2409,1,2410,0.22,S292
RAMULA KARTHIK,Independent,2284,4,2288,0.21,S292
MOLUGU VENKATESH,New India Party,2234,35,2269,0.21,S292
ERUGURALA BHAGYALAXMI,Pyramid Party of India,2113,12,2125,0.19,S292
GADDAM MARUTHI,Independent,2073,8,2081,0.19,S292
NAVEEN NUKALA,Independent,2057,10,2067,0.19,S292
MEKALA AKSHAY KUMAR,Independent,1899,3,1902,0.17,S292
KATKURI SANDEEP,Independent,1867,5,1872,0.17,S292
BOTLA CHANDRAIAH,Independent,1744,3,1747,0.16,S292
ERIKILLA RAJESH,Independent,1731,3,1734,0.16,S292
AKKAPAKA THIRUPATHI,Independent,1662,7,1669,0.15,S292
DURGAM SANTHOSH,Prajarajya Samithi,1576,38,1614,0.15,S292
MAMIDIPALLY BAPAIAH,Independent,1501,3,1504,0.14,S292
DUDA MAHIPAL,Independent,1495,1,1496,0.14,S292
BOODIDHA THIRUPATHI,Independent,1392,1,1393,0.13,S292
DAGAM SRINIVAS,Independent,1384,4,1388,0.13,S292
KADASI SHEKHAR,Independent,1266,6,1272,0.12,S292
DR VASARLA NATHANIAL,Independent,1195,22,1217,0.11,S292
AARNAKONDA RAJU,Independent,1160,7,1167,0.11,S292
NARESH JANAGAMA,Independent,1117,6,1123,0.1,S292
CHILUKA ANAND,Yuva Taram Party,1089,4,1093,0.1,S292
TALLAPALLY NARESH,Independent,967,1,968,0.09,S292
KURMA MAHENDER,Independent,863,2,865,0.08,S292
CHANDANAGIRI SHRINIVAS,Independent,766,0,766,0.07,S292
KASHI SATHISH KUMAR,Anti Corruption Dynamic Party,745,6,751,0.07,S292
KANAKAIAH MULKALA,Socialist Party (India),709,11,720,0.07,S292
SRINIVAS PANTHUKALA,Independent,701,2,703,0.06,S292
KONKATI LINGA MURTHI,Independent,659,2,661,0.06,S292
JUPAKA KIRAN,Independent,649,4,653,0.06,S292
RAJKUMAR DURGAM,Independent,478,1,479,0.04,S292
RAJESHAM RACHARLA,Independent,422,1,423,0.04,S292
NOTA,None of the Above,5591,120,5711,0.52,S292
MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,463777,7440,471217,33.99,S296
NEELAM MADHU,Indian National Congress,427899,4179,432078,31.17,S296
P. VENKATRAMA REDDY,Bharat Rashtra Samithi,395250,1540,396790,28.62,S296
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,17191,25,17216,1.24,S296
SARA YADAGIRI GOUD,Praja Velugu Party,11056,4,11060,0.8,S296
BODAPATLA ESHWAR,Bahujan Samaj Party,7423,40,7463,0.54,S296
DUBALA SRI SAILAM,Independent,5161,5,5166,0.37,S296
ADLA KUMAR,Independent,5113,3,5116,0.37,S296
BANDAPALLY SRINIVAS,Socialist Unity Centre Of India (communist),2366,0,2366,0.17,S296
ANIL GOUD,Bharat Jodo Party,2128,4,2132,0.15,S296
ABHILASH CHELIMELA,Independent,2031,0,2031,0.15,S296
ATI ANJANEYULU,Independent,2029,9,2038,0.15,S296
MAISANGARI SUNIL,India Praja Bandhu Party,2009,2,2011,0.15,S296
PRADEEP,Independent,2006,4,2010,0.14,S296
INDRAGOUD SILIVERI,National Nava Kranthi Party,1773,1,1774,0.13,S296
NAGAMANI ACHA,Independent,1538,2,1540,0.11,S296
